,content,page_number,real_page_num,section_level_1,section_level_2,section_level_3
1867,"In other words, two-place predicates translating transitive verbs denote sets of pairs of entities.",68,50,2 Predicates and arguments,,
1868,"Thus, like one-place predicates, two-place predicates denote sets, but sets with members that are not single entities but pairs of entities.",68,50,2 Predicates and arguments,,
1869,Relations denoted by the verbs in Gx specify a direction in which the relation goes.,68,50,2 Predicates and arguments,,
1870,"Hence, in the definition of the relation denoted by like* in Mi the pair Jo and Ethel must be distinguished from the pair Ethel and Jo, because in the former Jo is the one doing the liking while in the latter it is Ethel who does it.",68,50,2 Predicates and arguments,,
1871,"Thus, in the same way that",68,50,2 Predicates and arguments,,
1872,"Jo liked Ethel means something different from Ethel liked Jo, we must make sure that the pairs that make up the extensions of two-place predicates are properly ordered.",68,50,2 Predicates and arguments,,
1873,"The extensions of two-place predicates are, therefore, defined as sets of ordered pairs of entities.",68,50,2 Predicates and arguments,,
1874,"Ordered pairs of elements are conventionally written between angle brackets, <, >, and separated by a comma.",68,50,2 Predicates and arguments,,
1875,"Hence, the two ordered pairs corresponding to Jo and Ethel and Ethel and Jo are written as",68,50,2 Predicates and arguments,,
1876,"<MAN1,WOMAN1> and <WOMANi,MANi>.",68,50,2 Predicates and arguments,,
1877,"Because order is significant, these pairs represent different things: the first pair shows a relation between MANi and",68,50,2 Predicates and arguments,,
1878,WOMANi and the latter a relation between WOMAN! and MANi.,68,50,2 Predicates and arguments,,
1879,"As a rough and ready principle that will suffice for the moment: the first member of an ordered pair corresponds to the entity denoted by the first argument of a predicate (the translation of the syntactic subject of an active sentence), and the second member corresponds to the entity denoted by the second argument of the predicate (the translation of the syntactic direct object of an active sentence).",68,50,2 Predicates and arguments,,
1880,"Letting two-place predicates denote sets of ordered pairs of entities, we may further specify the denotation assignment function for Mi as in (40).",68,50,2 Predicates and arguments,,
1881,"{<MAN1,WOMAN1>,",68,50,2 Predicates and arguments,,
1882,"<MAN1,MANa>,",68,50,2 Predicates and arguments,,
1883,"<MAN,,WOMAN2>,",68,50,2 Predicates and arguments,,
1884,"<MAN1,MAN1>,",68,50,2 Predicates and arguments,,
1885,"<WOMAN!, WOMAN2>,",68,50,2 Predicates and arguments,,
1886,"<WOMAN!,MANj>,",68,50,2 Predicates and arguments,,
1887,"<WOMAN2,CAT>,",68,50,2 Predicates and arguments,,
1888,"<WOMAN2, WOMAN,>}.",68,50,2 Predicates and arguments,,
1889,b. loathe',68,50,2 Predicates and arguments,,
1890,"DENOTES {<MAN!,DOG>,",68,50,2 Predicates and arguments,,
1891,"<MAN2,DOG>,",68,50,2 Predicates and arguments,,
1892,"<WOMAN,,DOG>,",68,50,2 Predicates and arguments,,
1893,"<WOMAN2,DOG>,",68,50,2 Predicates and arguments,,
1894,"<WOMAN2,MANX>,",68,50,2 Predicates and arguments,,
1895,"<CAT,DOG>}.",68,50,2 Predicates and arguments,,
1896,"c. poison' DENOTES {<CAKE,DOG>}.",68,50,2 Predicates and arguments,,
1897,"DENOTES {<DOG,CAKE>}.",68,50,2 Predicates and arguments,,
1898,d. eat',68,50,2 Predicates and arguments,,
1899,DENOTES,68,50,2 Predicates and arguments,,
1900,"{<WOMAN1,BOOK>, e. read'",68,50,2 Predicates and arguments,,
1901,"<MAN2,BOOK>}.",68,50,2 Predicates and arguments,,
1902,f. kick',68,50,2 Predicates and arguments,,
1903,DENOTES,68,50,2 Predicates and arguments,,
1904,"The truth-conditions of a formula containing a two-place predicate are similar to those involving one-place predicates, in that set-membership is the important",68,50,2 Predicates and arguments,,
1905,(40) a.,68,50,2 Predicates and arguments,,
1906,50 like',68,50,2 Predicates and arguments,,
1907,DENOTES,68,50,2 Predicates and arguments,,
1908,Interpreting LP criterion.,69,51,2 Predicates and arguments,,
1909,"Such a formula is true with respect to some model, if the ordered pair formed by taking the entity denoted by the first argument of the predicate as the first element and that denoted by the second argument of the predicate as the second element is in the set of ordered pairs denoted by the two-place predicate.",69,51,2 Predicates and arguments,,
1910,"For example, to compute the truth value of the formula like '(the-student'fiona') with respect to Mi the entities denoted by the two arguments, the-student' and fiona', are identified.",69,51,2 Predicates and arguments,,
1911,"According to the denotation assignment in (29), the first expression denotes MAN!",69,51,2 Predicates and arguments,,
1912,and the second denotes WOMAN2.,69,51,2 Predicates and arguments,,
1913,"The relevant ordered pair that is formed from these two entities is <MAN!,WOMAN2> because this reflects the order of the arguments in the formula.",69,51,2 Predicates and arguments,,
1914,The extension of the predicate like' is then identified to see if the ordered pair is a member of this set.,69,51,2 Predicates and arguments,,
1915,(40) shows that this is the case and that,69,51,2 Predicates and arguments,,
1916,"<MANi,WOMAN2> is indeed in the extension of like'.",69,51,2 Predicates and arguments,,
1917,"Hence, the formula like '(the-student 'fiona') is true with respect to M,.",69,51,2 Predicates and arguments,,
1918,"On the other hand, the formula that translates the sentence The student is liked by Fiona is false in Mi, because the ordered pair <WOMAN 2 ,MAN!> is not in the extension of like1.",69,51,2 Predicates and arguments,,
1919,"The translation rules ensure that it is not the pair <MAN1,WOMAN2> which is checked for being in the extension of the predicate.",69,51,2 Predicates and arguments,,
1920,"This is because the translation of the sentence is like '(fiona ', the-student') and not like '(the-student * fiona').",69,51,2 Predicates and arguments,,
1921,The interpretation rule for two-place predicates given in (41) ensures that the order of arguments in a predicate-argument representation is significant and so the differences in the translation rules of active and passive sentences are semantically significant.,69,51,2 Predicates and arguments,,
1922,"Truth-conditions for two-place predicates: A formula \V(NP,\NP 2 ') is true with respect to a model iff the ordered pair <Ei,E>> is in the set of ordered pairs denoted by V,' in the model, where Ei is the entity denoted by NP,' and E2 is the entity denoted by NP 2 ' in the model.",69,51,2 Predicates and arguments,,
1923,The formula is false otherwise.,69,51,2 Predicates and arguments,,
1924,Exercise 2.6:,69,51,2 Predicates and arguments,,
1925,"Translate the following sentences into LP and ascertain whether the formulae they are associated with are true or false with respect to the model, M } .",69,51,2 Predicates and arguments,,
1926,i.,69,51,2 Predicates and arguments,,
1927,The cat was liked by the lecturer.,69,51,2 Predicates and arguments,,
1928,ii.,69,51,2 Predicates and arguments,,
1929,Ethel kicked the student.,69,51,2 Predicates and arguments,,
1930,iii.,69,51,2 Predicates and arguments,,
1931,The cake poisoned the cat.,69,51,2 Predicates and arguments,,
1932,"If transitive verbs describe relations between two entities, ditransitive verbs describe relations between three entities.",69,51,2 Predicates and arguments,,
1933,"For example, in the relation of giving there has to be an entity who does the giving, an entity that is given, and an entity to whom the latter is given.",69,51,2 Predicates and arguments,,
1934,"Thus, the extensions of three-place predicates that translate such verbs are represented as sets of ordered triples of entities.",69,51,2 Predicates and arguments,,
1935,"An ordered triple is like an ordered pair except that it contains three members, not two, but again the order is significant and fixed.",69,51,2 Predicates and arguments,,
1936,The order of the entities in each of the triples that make up the extension of a three-place predicate follows the order of the arguments of the predicate.,69,51,2 Predicates and arguments,,
1937,"Thus, the entity denoted by the first argument forms the first element in the triple, that denoted by the second argument forms the second element and that denoted",69,51,2 Predicates and arguments,,
1938,2 Predicates and arguments by the third argument forms the third element.,70,52,2 Predicates and arguments,,
1939,"The only ditransitive verb in fragment d is gave, given and it receives the extension in (42) which represents a situation in which Jo gave the cake to the dog,",70,52,2 Predicates and arguments,,
1940,"Fiona gave the cake to Jo, Jo gave the book to Bertie, Bertie gave it to Ethel and Jo gave Fiona the cat.",70,52,2 Predicates and arguments,,
1941,(42) give' DENOTES,70,52,2 Predicates and arguments,,
1942,"{<WOMAN2,CAKE,MAN1>,",70,52,2 Predicates and arguments,,
1943,"<MAN1 ,CAKE,DOG>,",70,52,2 Predicates and arguments,,
1944,"<MAN1,BOOK,MAN2>,",70,52,2 Predicates and arguments,,
1945,"<MAN2,BOOK,WOMAN1>,",70,52,2 Predicates and arguments,,
1946,"<MAN1,CAT,WOMAN2>}.",70,52,2 Predicates and arguments,,
1947,The definition of the truth-conditions for formulae containing three-place predicates formula follows the same pattern as for the other predicates.,70,52,2 Predicates and arguments,,
1948,The givey(the-student\prudence\the-lecturery) is true if (and only if) the ordered triple,70,52,2 Predicates and arguments,,
1949,"<MANi,CAT,WOMAN 2 >, representing the entities denoted by the three arguments of the predicate in order, is in the set of ordered triples denoted by give'.",70,52,2 Predicates and arguments,,
1950,Truth-conditions for three-place predicates: A formula,70,52,2 Predicates and arguments,,
1951,"V d t'(NPi\NP 2 \NP 3 > ) is true if and only if the ordered triple <E!,E2,E3> is in the set of ordered triples denoted by V dt \ where Ei is the entity denoted by NPi\ E 2 is the entity denoted by NP 2 ' and E3 is the entity denoted by NP 3 '.",70,52,2 Predicates and arguments,,
1952,The formula is false otherwise.,70,52,2 Predicates and arguments,,
1953,Exercise 2.7:,70,52,2 Predicates and arguments,,
1954,Translate the following sentences into Lp and say whether they are true or false with respect to the model Mi.,70,52,2 Predicates and arguments,,
1955,i.,70,52,2 Predicates and arguments,,
1956,The golfer gave the book to the golfer.,70,52,2 Predicates and arguments,,
1957,ii.,70,52,2 Predicates and arguments,,
1958,The student gave the lecturer the book.,70,52,2 Predicates and arguments,,
1959,iii.,70,52,2 Predicates and arguments,,
1960,Ethel was given the book by Bertie.,70,52,2 Predicates and arguments,,
1961,Exercise 2.8:,70,52,2 Predicates and arguments,,
1962,Write a general rule giving the truth-conditions for formulae containing any n-place predicate along the lines of (41) and (43).,70,52,2 Predicates and arguments,,
1963,Finishing up,70,52,2 Predicates and arguments,,
1964,We have now given the extensions for almost all the basic expressions in L P and provided the truth-conditions for almost all the simple formulae derived by translating the English sentences generated by the grammar d .,70,52,2 Predicates and arguments,,
1965,"The only thing that remains is to interpret the zero-place predicates, rain' and snow'.",70,52,2 Predicates and arguments,,
1966,"Unlike the other predicates, these do not denote sets, because they have no arguments.",70,52,2 Predicates and arguments,,
1967,"Instead they are directly assigned truth values, because they are, in effect, basic formulae.",70,52,2 Predicates and arguments,,
1968,"The denotation assignment function of the model must, therefore, assign them either",70,52,2 Predicates and arguments,,
1969,"Interpreting LP the value true or the value false, thus directly specifying their truth as part of the model.",71,53,2 Predicates and arguments,,
1970,No separate statement of their truth-conditions in the theory is thus required to interpret them.,71,53,2 Predicates and arguments,,
1971,"For the sake of completeness, then, let us assume that in the situation modelled by Mi it was raining but not snowing.",71,53,2 Predicates and arguments,,
1972,The denotation assignment function of Mi is thus completed by the statements in (44).,71,53,2 Predicates and arguments,,
1973,(44) a. rain' b. snow',71,53,2 Predicates and arguments,,
1974,DENOTES,71,53,2 Predicates and arguments,,
1975,DENOTES true.,71,53,2 Predicates and arguments,,
1976,false.,71,53,2 Predicates and arguments,,
1977,"All basic expressions of the grammar fragment, the constants in LP that translate the lexemes in English, have now been assigned a denotation.",71,53,2 Predicates and arguments,,
1978,"Furthermore, the rules defining the truth-conditions of the simple formulae resulting from the translation of sentences in G^ together constitute a complete theory of interpretation for those formulae in LP.",71,53,2 Predicates and arguments,,
1979,"Hence, the truth or falsity of the formulae that translate any of the simple sentences generated by G! can be ascertained with respect to Mj or indeed any other model that assigns denotations to the constants of LP.",71,53,2 Predicates and arguments,,
1980,The interpretation procedure outlined above remains the same for all possible models of situations that can be described by sentences generated by Gx.,71,53,2 Predicates and arguments,,
1981,"Hence, it forms a theory of interpretation independent of particular situations represented by models.",71,53,2 Predicates and arguments,,
1982,"In the next chapter, the interpretation discussed in this section is put on a more formal footing, but before this is done the grammar fragment G{ will be extended to generate simple conjoined sentences.",71,53,2 Predicates and arguments,,
1983,Further reading,71,53,2 Predicates and arguments,,
1984,"The language Lp is based on part of predicate logic and there are many introductions to this logical system, although they all begin with an introduction to propositional logic which is discussed in Chapter 3.",71,53,2 Predicates and arguments,,
1985,"The basic syntax of this language is introduced in Allwood, Andersen and Dahl (1977: 58-61) and the semantics is given in Allwood,",71,53,2 Predicates and arguments,,
1986,Andersen and Dahl (1977: 72-75).,71,53,2 Predicates and arguments,,
1987,The most accessible logic textbook is Guttenplan,71,53,2 Predicates and arguments,,
1988,"(1986), of which pp. 166-175 are the most relevant here.",71,53,2 Predicates and arguments,,
1989,"Most introductions to classical phrase structure grammar are to be found in older introductory textbooks to linguistics (see, particularly, Bach (1974)), but Borsley (1990) discusses more modern approaches to such grammars with respect also to transformational and unification grammars.",71,53,2 Predicates and arguments,,
1990,"Formal grammar theory and a formal account of phrase structure grammar can be found in Partee, ter Meulen and Wall (1990:433-454; 492-505).",71,53,2 Predicates and arguments,,
1991,"Introductions to set theory are again legion: see, inter alia, Allwood, Andersen and Dahl (1977: chs.",71,53,2 Predicates and arguments,,
1992,"1 & 2), Lyons (1977:154-161), Partee, ter Meulen and Wall (1990:3-30), and Martin",71,53,2 Predicates and arguments,,
1993,(1987: ch.,71,53,2 Predicates and arguments,,
1994,Negation and Co-ordination,72,54,3 Negation and Co-ordination,,
1995,Compound sentences,72,54,3 Negation and Co-ordination,,
1996,"The grammar presented in Chapter 2 generates some very basic sentences of English and the translation procedure enables each one to be associated with at least one representation in Lp (more than one, if it contains a homonym).",72,54,3 Negation and Co-ordination,,
1997,"While the number of sentences generated by the grammar, Gu is relatively large (and can be made larger if more words are added to the lexicon), the language it generates is still finite.",72,54,3 Negation and Co-ordination,,
1998,One of the properties that all natural languages are assumed to have is that they contain an infinite number of sentences.,72,54,3 Negation and Co-ordination,,
1999,"Since one of the goals of a theory of semantics, as we saw in Chapter 1, is to pair each sentence in a natural language with an interpretation, the theory must contain the means to provide an infinite number of interpretations.",72,54,3 Negation and Co-ordination,,
2000,"Furthermore, because natural languages are here being interpreted indirectly via a logical representation, the logical translation language must itself be infinite.",72,54,3 Negation and Co-ordination,,
2001,The reason that natural languages are infinite is that they are recursive.,72,54,3 Negation and Co-ordination,,
2002,This means that expressions in certain categories may contain other expressions of the same category.,72,54,3 Negation and Co-ordination,,
2003,"For example, sentences may contain other sentences conjoined by the expressions and or or, or they may be connected by if...then, or a sentence may contain one or more repetitions of the expression it is not the case that.",72,54,3 Negation and Co-ordination,,
2004,Some examples based on the grammar Gi are given in (1).,72,54,3 Negation and Co-ordination,,
2005,(1) a.,72,54,3 Negation and Co-ordination,,
2006,b.,72,54,3 Negation and Co-ordination,,
2007,c.,72,54,3 Negation and Co-ordination,,
2008,d.,72,54,3 Negation and Co-ordination,,
2009,Ethel poisoned the cat and the dog howled.,72,54,3 Negation and Co-ordination,,
2010,The lecturer gave the cake to the dog or the student gave the cake to the lecturer and the lecturer laughed or the dog howled.,72,54,3 Negation and Co-ordination,,
2011,"If the dog ate the cake, then the student poisoned the dog or the lecturer poisoned the dog.",72,54,3 Negation and Co-ordination,,
2012,"If it was not the case that it rained or it snowed, then it was not the case that it was not the case that it rained and it was not the case that it snowed.",72,54,3 Negation and Co-ordination,,
2013,"The somewhat formal sentences in (1) (and an infinite number of others) can be generated by adding three recursive rules to the grammar, d , and a set of conjunctions to the lexicon.",72,54,3 Negation and Co-ordination,,
2014,These are given in (2).,72,54,3 Negation and Co-ordination,,
2015,"The first rule, 13Gi, introduces the conjunctions and and or, the second, 14Gi, analyses if...then sentences and the third,",72,54,3 Negation and Co-ordination,,
2016,"15G,, provides a type of recursive negative sentence.",72,54,3 Negation and Co-ordination,,
2017,(2) a.,72,54,3 Negation and Co-ordination,,
2018,b.,72,54,3 Negation and Co-ordination,,
2019,c.,72,54,3 Negation and Co-ordination,,
2020,d.,72,54,3 Negation and Co-ordination,,
2021,"13G,:S->SCONJS.",72,54,3 Negation and Co-ordination,,
2022,"14G,:S->ifS,,thenS 2 .",72,54,3 Negation and Co-ordination,,
2023,"15G,: S -» it is not the case that S.",72,54,3 Negation and Co-ordination,,
2024,"CONJ^{and, or}.",72,54,3 Negation and Co-ordination,,
2025,Complex formulae,73,55,3 Negation and Co-ordination,,
2026,"The negative sentences generated by Rule 15G, are not elegant and in order to obtain more natural negative sentences, we can incorporate a set of non-recursive negation rules that provide the negative counterparts of the basic sentence rules of",73,55,3 Negation and Co-ordination,,
2027,Chapter 2.,73,55,3 Negation and Co-ordination,,
2028,"Essentially, all the rules in G, that introduce a finite verb (Vi[+FIN],",73,55,3 Negation and Co-ordination,,
2029,"V,[+FTN], Vdt[+FIN] and V0[+FIN]) have a negative counterpart containing the word didn't which appears after the subject and before the non-finite, [-FIN], form of the verb, as in (3).",73,55,3 Negation and Co-ordination,,
2030,"The non-finite form of a verb in English is its base (or citation) form, without any tense or participial suffixes or other morphological modification.",73,55,3 Negation and Co-ordination,,
2031,(3) a.,73,55,3 Negation and Co-ordination,,
2032,b.,73,55,3 Negation and Co-ordination,,
2033,c.,73,55,3 Negation and Co-ordination,,
2034,d.,73,55,3 Negation and Co-ordination,,
2035,e.,73,55,3 Negation and Co-ordination,,
2036,"lG,(neg):",73,55,3 Negation and Co-ordination,,
2037,"2G,(neg):",73,55,3 Negation and Co-ordination,,
2038,"3G, (neg):",73,55,3 Negation and Co-ordination,,
2039,"4G, (neg):",73,55,3 Negation and Co-ordination,,
2040,"5G,(neg):",73,55,3 Negation and Co-ordination,,
2041,"S ->NP didn't V,[-FIN].",73,55,3 Negation and Co-ordination,,
2042,"S ->NP, didn't VtNP2.",73,55,3 Negation and Co-ordination,,
2043,"S -> NP, didn't Vdt[-FIN] NP2 to NP3.",73,55,3 Negation and Co-ordination,,
2044,"S -> NP, didn't Vdt[-FIN] NP3 NP2.",73,55,3 Negation and Co-ordination,,
2045,S -> it didn't V0[-FIN].,73,55,3 Negation and Co-ordination,,
2046,"All the rules introducing the copula, on the other hand, have negative counterparts with was replaced by wasn't, as in (4).",73,55,3 Negation and Co-ordination,,
2047,(4) a.,73,55,3 Negation and Co-ordination,,
2048,b.,73,55,3 Negation and Co-ordination,,
2049,c.,73,55,3 Negation and Co-ordination,,
2050,d.,73,55,3 Negation and Co-ordination,,
2051,e.,73,55,3 Negation and Co-ordination,,
2052,"8G,(neg): S -> NP, wasn't VJPAS] by NP2.",73,55,3 Negation and Co-ordination,,
2053,"9G, (neg): S -> NP, wasn't Vdt[PAS] to NP2 by NP3.",73,55,3 Negation and Co-ordination,,
2054,"10G, (neg): S -» NP, wasn't Vdt[PAS] NP2 by NP3.",73,55,3 Negation and Co-ordination,,
2055,"11G, (neg): S -> NP, wasn't NP2.",73,55,3 Negation and Co-ordination,,
2056,"12G, (neg): S -> NP wasn't A.",73,55,3 Negation and Co-ordination,,
2057,"It would be better from the syntactic point of view, of course, if these negative rules could be directly related to their positive counterparts.",73,55,3 Negation and Co-ordination,,
2058,"The machinery for doing this will be introduced in Chapter 5, but for the moment we adopt the rules in (3) and",73,55,3 Negation and Co-ordination,,
2059,(4) without any attempt at providing syntactic adequacy.,73,55,3 Negation and Co-ordination,,
2060,"However, the grammar now generates more natural sounding negative sentences like those in (5).",73,55,3 Negation and Co-ordination,,
2061,(5) a.,73,55,3 Negation and Co-ordination,,
2062,b.,73,55,3 Negation and Co-ordination,,
2063,c.,73,55,3 Negation and Co-ordination,,
2064,"If the dog didn't eat the cake, then Ethel wasn't happy.",73,55,3 Negation and Co-ordination,,
2065,It didn't rain and it didn't snow.,73,55,3 Negation and Co-ordination,,
2066,It was not the case that Bertie didn't sing.,73,55,3 Negation and Co-ordination,,
2067,Complex formulae,73,55,3 Negation and Co-ordination,,
2068,"Having defined a set of negation and co-ordination rules, it is necessary to specify the way the sentences that are generated by those rules are translated into LP and ultimately interpreted.",73,55,3 Negation and Co-ordination,,
2069,"Because the new syntactic rules are recursive, they allow the generation of an infinite number of sentences, as already mentioned.",73,55,3 Negation and Co-ordination,,
2070,It is in situations like these that the reasons for the rule-to-rule translation procedure set up in Chapter,73,55,3 Negation and Co-ordination,,
2071,2 become apparent.,73,55,3 Negation and Co-ordination,,
2072,"The translation of a finite language may be achieved by listing the sentences generated by the grammar with their appropriate translations, but that of an infinite language cannot be achieved in the same way.",73,55,3 Negation and Co-ordination,,
2073,"The pairing up of syntactic and translation rules in the procedure discussed in the last chapter has the advantage that, provided that both the object language and the logical translation language can be defined by recursive rules, any sentence in the language can be paired with its translation, no matter how long it is.",73,55,3 Negation and Co-ordination,,
2074,"Indeed, it is theoretically possible to provide the",73,55,3 Negation and Co-ordination,,
2075,"3 Negation and co-ordination translation of an infinitely long sentence in this way, even though no human being could produce such a sentence.",74,56,3 Negation and Co-ordination,,
2076,"Hence, the rule-to-rule hypothesis not only helps maintain compositionality, but also ensures that the translation of any sentence in the object language generated by a particular grammar has a well-formed and determinate translation (and hence interpretation).",74,56,3 Negation and Co-ordination,,
2077,"In order to translate the syntactic rules in Section 3.1, the syntax of L P itself has to be extended to make it recursive.",74,56,3 Negation and Co-ordination,,
2078,Two new L P syntactic rules are given in (6.a) and,74,56,3 Negation and Co-ordination,,
2079,"(6.c) introducing two new logical categories, Op2 for two-place propositional operators, connecting two formulae and Opi for one-place propositional operators which modify only one formula.",74,56,3 Negation and Co-ordination,,
2080,"These categories contain only a few, logical, expressions which are given in (6.b) and (6.d).",74,56,3 Negation and Co-ordination,,
2081,"The operators in (6.b) and (6.d) have particular logical functions, shown by their common names: & is the conjunction operator, v is the disjunction operator, —> is the symbol for material implication,",74,56,3 Negation and Co-ordination,,
2082,<-> is the equivalence operator and ~ is the negation operator.,74,56,3 Negation and Co-ordination,,
2083,(6) a.,74,56,3 Negation and Co-ordination,,
2084,b.,74,56,3 Negation and Co-ordination,,
2085,c.,74,56,3 Negation and Co-ordination,,
2086,d.,74,56,3 Negation and Co-ordination,,
2087,t -> t Op 2 1.,74,56,3 Negation and Co-ordination,,
2088,"Op 2 -> {->,v ,&,<-> }.",74,56,3 Negation and Co-ordination,,
2089,"t -> Op,(t).",74,56,3 Negation and Co-ordination,,
2090,"Op,->{-}.",74,56,3 Negation and Co-ordination,,
2091,The expressions in (6.b) and (6.d) are used to translate the English conjunctions introduced by the rules in (2.a) and (2.b) and in translating negative sentences.,74,56,3 Negation and Co-ordination,,
2092,"Like the copula in equative sentences, conjunctions and negative expressions are not translated using the general rule for translating lexical items given in (21) of Chapter",74,56,3 Negation and Co-ordination,,
2093,"Instead, the relationship between the logical expressions and their English counterparts is specified directly by the rules in (7).",74,56,3 Negation and Co-ordination,,
2094,(7) a.,74,56,3 Negation and Co-ordination,,
2095,b.,74,56,3 Negation and Co-ordination,,
2096,c.,74,56,3 Negation and Co-ordination,,
2097,d.,74,56,3 Negation and Co-ordination,,
2098,and => &.,74,56,3 Negation and Co-ordination,,
2099,or => v .,74,56,3 Negation and Co-ordination,,
2100,if...then => —> .,74,56,3 Negation and Co-ordination,,
2101,it is not the case that => ~.,74,56,3 Negation and Co-ordination,,
2102,"Given these correspondences and the LP construction rules in (6), rules 13Gi,",74,56,3 Negation and Co-ordination,,
2103,14Gi and 15Gi have the obvious translations given in (8).,74,56,3 Negation and Co-ordination,,
2104,"In these rules, the brackets that are introduced are important to the translation because they ensure that the logical expressions are unambiguous, as we will see below.",74,56,3 Negation and Co-ordination,,
2105,(8) a.,74,56,3 Negation and Co-ordination,,
2106,b.,74,56,3 Negation and Co-ordination,,
2107,c.,74,56,3 Negation and Co-ordination,,
2108,"T13G,: S =» (S* CONP S').",74,56,3 Negation and Co-ordination,,
2109,"T14G,: S =» (S,' -> S A",74,56,3 Negation and Co-ordination,,
2110,"T15G,: S => ~(S').",74,56,3 Negation and Co-ordination,,
2111,"The translation rules for all the negative rules in (4) and (5) are formed by putting the negation operator, ~, in front of the translation of the positive version of the rule.",74,56,3 Negation and Co-ordination,,
2112,"For example, lGi (neg) has the translation ~(V7(NP')), 8G! (neg) has the translation",74,56,3 Negation and Co-ordination,,
2113,"-(Vt>(NP2,NPi)), and 11G, (neg) has the translation ~(NP, = NP2) and so on.",74,56,3 Negation and Co-ordination,,
2114,"Translation proceeds as described in Chapter 2: for each line in the derivation of a sentence, there is a corresponding translation of that line into LP.",74,56,3 Negation and Co-ordination,,
2115,"An example derivation is given in (9) of the compound sentence The cake was eaten by the dog and if Ethel laughed, then Ethel poisoned the dog.",74,56,3 Negation and Co-ordination,,
2116,Complex formulae,75,57,3 Negation and Co-ordination,,
2117,(9) a.,75,57,3 Negation and Co-ordination,,
2118,b.,75,57,3 Negation and Co-ordination,,
2119,c.,75,57,3 Negation and Co-ordination,,
2120,d.,75,57,3 Negation and Co-ordination,,
2121,e.,75,57,3 Negation and Co-ordination,,
2122,f.,75,57,3 Negation and Co-ordination,,
2123,g.,75,57,3 Negation and Co-ordination,,
2124,h.,75,57,3 Negation and Co-ordination,,
2125,i.,75,57,3 Negation and Co-ordination,,
2126,j.,75,57,3 Negation and Co-ordination,,
2127,k.,75,57,3 Negation and Co-ordination,,
2128,S,75,57,3 Negation and Co-ordination,,
2129,=>S\,75,57,3 Negation and Co-ordination,,
2130,S CONJ S,75,57,3 Negation and Co-ordination,,
2131,"13G,",75,57,3 Negation and Co-ordination,,
2132,=> (S' CONJ' S').,75,57,3 Negation and Co-ordination,,
2133,"14G,",75,57,3 Negation and Co-ordination,,
2134,"S CONJ if S, then S2",75,57,3 Negation and Co-ordination,,
2135,"=>(S'CONr(S,'->S2')).",75,57,3 Negation and Co-ordination,,
2136,"NPi was Vt[PAS] by NP2 CONJ if S, then S2",75,57,3 Negation and Co-ordination,,
2137,"8G,",75,57,3 Negation and Co-ordination,,
2138,"=> (V.XNP^NP,') CONJ' (Sr -> S2')).",75,57,3 Negation and Co-ordination,,
2139,"1G,",75,57,3 Negation and Co-ordination,,
2140,"NP, was V,[PAS] by NP2 CONJ if NP V, then S2",75,57,3 Negation and Co-ordination,,
2141,"=> (V t '(NP 2 ',NPr) CONJ' (Vi'(NP') -> S,)).",75,57,3 Negation and Co-ordination,,
2142,"2G,",75,57,3 Negation and Co-ordination,,
2143,"NP, was V,[PAS] by NP2 CONJ if NP V, then NP3 Vt NP4",75,57,3 Negation and Co-ordination,,
2144,"=> (V, f (NP,',NP,') CONJ' (V,'(NP') -> Vt(NP3',NP4'))).",75,57,3 Negation and Co-ordination,,
2145,"7G, the N was VJTAS] by NP2 CONJ if NP V, then NP3 V, NP4",75,57,3 Negation and Co-ordination,,
2146,"=> (Vt'(NP2',the-N') CONJ' (W(NP') -> Vt(NP3',NP4'))).",75,57,3 Negation and Co-ordination,,
2147,the N was VfPAS] by Npr CONJ if NP V» then NP3 Vt NP4,75,57,3 Negation and Co-ordination,,
2148,"6G,",75,57,3 Negation and Co-ordination,,
2149,"=> (Vt'(Npr',the-N') CONJ' (W(NP') -> Vt(NP3',NP4'))).",75,57,3 Negation and Co-ordination,,
2150,"the N is Vt[PAS] by Npr CONJ if Npr V, then NP3 Vt NP4",75,57,3 Negation and Co-ordination,,
2151,"6G,",75,57,3 Negation and Co-ordination,,
2152,"=> (Vt'(Npr',the-N') CONJ' (W(N pr ') -> V,(NP3\NP4'))).",75,57,3 Negation and Co-ordination,,
2153,"the N is Vt[PAS] by Npr CONJ if Npr V, then the N Vt NP4",75,57,3 Negation and Co-ordination,,
2154,"7G,",75,57,3 Negation and Co-ordination,,
2155,"=» (Vt'(Npr',the-N') CONJ' Cv7(Npr') -> Vtfhe-N\NP 4 '))).",75,57,3 Negation and Co-ordination,,
2156,"the N is Vt[PAS] by Npr CONJ if Npr Vj then the N V, Npr",75,57,3 Negation and Co-ordination,,
2157,"6G,",75,57,3 Negation and Co-ordination,,
2158,"=> (Vt'(Npr',the-N') CONJ' (V^N,/) -> V,(the-N',Npr'))).",75,57,3 Negation and Co-ordination,,
2159,"The cake was eaten by Chester and if Ethel laughed, then Ethel poisoned the dog",75,57,3 Negation and Co-ordination,,
2160,Lex,75,57,3 Negation and Co-ordination,,
2161,"=> (eat'(Chester',the-cake') & (laugh'(ethel') -> poison'(ethel',the-dog'))).",75,57,3 Negation and Co-ordination,,
2162,"As before, derivations may also be represented by analysis trees, i.e. phrase structure trees annotated with their translations.",75,57,3 Negation and Co-ordination,,
2163,"(10), below, shows the tree associated with the sentence If it didn 7 rain, it snowed.",75,57,3 Negation and Co-ordination,,
