,content,page_number,real_page_num,section_level_1,section_level_2,section_level_3,clean_content
2313,"As discussed in Chapter 2, a model consists of an ontology and a function that assigns extensions to basic expressions in the object language.",93,75,3 Negation and Co-ordination,No info,No info,model ontology function extension basic expression object language
2314,"The ontology is defined as a set of entities, usually symbolised as the set A, which contains the entities that exist in the state of affairs being modelled.",93,75,3 Negation and Co-ordination,No info,No info,ontology entity entity state affair
2315,"Extensions are assigned to basic, or constant, expressions of the object language by a function F which associates each constant expression with some entity in A or some subset of",93,75,3 Negation and Co-ordination,No info,No info,extension basic constant expression object language function associate constant expression entity subset
2316,"A or some set of ordered n-tuples in A, depending on the logical category of the constant expression.",93,75,3 Negation and Co-ordination,No info,No info,set logical category constant expression
2317,"Crucially, F is a function, something that assigns a unique denotation to each constant in the object language.",93,75,3 Negation and Co-ordination,No info,No info,function unique denotation constant object language
2318,More is said about functions in,93,75,3 Negation and Co-ordination,No info,No info,function
2319,"Chapter 4, but their importance lies in the fact that they always provide a unique value (here an extension in the model) for a particular argument (here a basic expression in the object language, LP).",93,75,3 Negation and Co-ordination,No info,No info,importance fact unique value extension model particular argument basic expression object language
2320,This ensures that the interpretation of some,93,75,3 Negation and Co-ordination,No info,No info,interpretation
2321,Lp expression is properly unambiguous.,93,75,3 Negation and Co-ordination,No info,No info,expression unambiguous
2322,"Thus, F always applies to some constant a in the object language to yield a unique extension, A {delta).",93,75,3 Negation and Co-ordination,No info,No info,constant object language unique extension delta
2323,"If F were not a function, it would be possible for a constant to be assigned two different extensions.",93,75,3 Negation and Co-ordination,No info,No info,function constant different extension
2324,"In such a case, we could not necessarily decide whether a formula involving the expression was true or not and, therefore, could get no information from it.",93,75,3 Negation and Co-ordination,No info,No info,formula expression true information
2325,"For example, if a predicate like scream' denoted two different sets, say 0 and",93,75,3 Negation and Co-ordination,No info,No info,predicate scream different set
2326,"{MANi,WOMAN2},then a formula like scream '(jo') could be either true or false depending on which extension is chosen.",93,75,3 Negation and Co-ordination,No info,No info,mani formula scream true false depending extension
2327,"On a particular occasion of utterance, however, the sentence Jo screamed expresses a proposition that is either true or false, but not both, assuming that Jo has a unique extension in the context.",93,75,3 Negation and Co-ordination,No info,No info,particular occasion utterance sentence express proposition true false unique extension context
2328,"Furthermore, although we may come across homonymous or polysemous expressions in speech, these are interpreted with the aid of the context as if they were properly unambiguous.",93,75,3 Negation and Co-ordination,No info,No info,homonymous polysemous expression speech aid context unambiguous
2329,3 Negation and co-ordination,94,76,3 Negation and Co-ordination,No info,No info,negation
2330,"In other words, they are treated as denoting a unique extension in the given context.",94,76,3 Negation and Co-ordination,No info,No info,word unique extension context
2331,"The fact that F is a function does not, of course, prevent two lexemes from having the same extension, like two synonyms e.g. mercury and quicksilver.",94,76,3 Negation and Co-ordination,No info,No info,fact function course prevent lexeme extension synonym mercury quicksilver
2332,Items that are not synonymous may also have the same extensions.,94,76,3 Negation and Co-ordination,No info,No info,item synonymous
2333,"In the real world, this is true of the words unicorn and gryphon on the assumption that they denote nothing (i.e. nothing that exists in our world is either a unicorn or a gryphon).",94,76,3 Negation and Co-ordination,No info,No info,real world true word unicorn gryphon assumption denote nothing nothing world unicorn gryphon
2334,The significance of this will be examined further in Chapters 9 and 10.,94,76,3 Negation and Co-ordination,No info,No info,significance chapter
2335,"As discussed in Chapter 2, the denotation assignment function must also specify a denotation of every constant in the object language, even if there is nothing in its extension.",94,76,3 Negation and Co-ordination,No info,No info,denotation assignment function denotation constant object language nothing extension
2336,"This is because, even if nothing in a model has a certain property or stands in a certain relation to anything else, we can use expressions with null extensions to describe some state of affairs and to make true statements using the negation operator.",94,76,3 Negation and Co-ordination,No info,No info,nothing model certain property certain relation expression null extension state affair true statement negation operator
2337,"An expression like Jo threw the cat to Fiona, however, is strictly both ungrammatical and meaningless in the fragment generated by d , because threw is not a word in the lexicon of the grammar.",94,76,3 Negation and Co-ordination,No info,No info,expression cat fiona ungrammatical meaningless fragment word lexicon grammar
2338,"Such an expression would be grammatical, of course, if the ditransitive verb threw were introduced into the lexicon.",94,76,3 Negation and Co-ordination,No info,No info,expression grammatical course ditransitive verb lexicon
2339,"If this is done, however, its translation into Lp, throw \ must be included in the specification of the denotation function assignment in any model used to interpret LP.",94,76,3 Negation and Co-ordination,No info,No info,translation throw specification denotation function assignment model interpret
2340,Otherwise formulae containing this constant would remain meaningless.,94,76,3 Negation and Co-ordination,No info,No info,formula constant meaningless
2341,"Any model for interpreting expressions in LP can be defined as an ordered pair consisting of the ontology and the denotation assignment function, i.e. M = «A,F».",94,76,3 Negation and Co-ordination,No info,No info,model expression pair ontology denotation assignment function
2342,The model Mi may thus be formally defined as in (44).,94,76,3 Negation and Co-ordination,No info,No info,model
2343,"This specifies everything that exists in the model, i.e. the ontology A, and the extensions of all the constants in LP that are associated with lexemes in Gi.",94,76,3 Negation and Co-ordination,No info,No info,everything model ontology extension constant lexeme
2344,"The situation thus represented involves two men, two women, a dog, a cat, a book and a cake, with the properties and relations assigned informally in Chapter 2.",94,76,3 Negation and Co-ordination,No info,No info,situation men woman dog cat book cake property relation
2345,F t is specified as a set of statements of the form,94,76,3 Negation and Co-ordination,No info,No info,specified statement form
2346,"Fi(a) = a where a is the argument of the function, a constant in LP and a is the value of the function applied to this argument, i.e. its extension in the model M,.",94,76,3 Negation and Co-ordination,No info,No info,argument function constant value function argument extension model
2347,It is important to remember that the upper case words in (48) and elsewhere represent real world entities and are not words of English or Lp.,94,76,3 Negation and Co-ordination,No info,No info,important upper word real world entity word english
2348,(48) a.,94,76,3 Negation and Co-ordination,No info,No info,
2349,b.,94,76,3 Negation and Co-ordination,No info,No info,
2350,"M, = «A,F,», where",94,76,3 Negation and Co-ordination,No info,No info,
2351,"A = {MANi,WOMAN2,MAN2,WOMANi,DOG,CAT,BOOK,CAKE}",94,76,3 Negation and Co-ordination,No info,No info,mani womani dog cat book cake
2352,"F,=",94,76,3 Negation and Co-ordination,No info,No info,
2353,"F^the-student') = MAN!,",94,76,3 Negation and Co-ordination,No info,No info,man
2354,"F,(bertie') = MAN2,",94,76,3 Negation and Co-ordination,No info,No info,bertie
2355,"F,(ethel') = WOMAN!,",94,76,3 Negation and Co-ordination,No info,No info,ethel woman
2356,"F,(the-golfer') = WOMANi,",94,76,3 Negation and Co-ordination,No info,No info,womani
2357,"F,(fiona') = WOMAN2,",94,76,3 Negation and Co-ordination,No info,No info,fiona
2358,"F^the-singer') = WOMAN2,",94,76,3 Negation and Co-ordination,No info,No info,
2359,"F^the-lecturer') = WOMAN2,",94,76,3 Negation and Co-ordination,No info,No info,
2360,"F,(the-cat') = CAT,",94,76,3 Negation and Co-ordination,No info,No info,cat
2361,"F,(prudence') = CAT,",94,76,3 Negation and Co-ordination,No info,No info,prudence cat
2362,"F,(chester') = DOG,",94,76,3 Negation and Co-ordination,No info,No info,chester dog
2363,"F1(the-dog>) = DOG,",94,76,3 Negation and Co-ordination,No info,No info,dog
2364,"F,(trie-book') = BOOK,",94,76,3 Negation and Co-ordination,No info,No info,book
2365,Formal interpretation,95,77,3 Negation and Co-ordination,No info,No info,formal interpretation
2366,"F,(the-cake') = CAKE,",95,77,3 Negation and Co-ordination,No info,No info,cake
2367,"F,(ran>) = {DOG,CAT}>",95,77,3 Negation and Co-ordination,No info,No info,dog cat
2368,"F,(laugh') = {MAN!, WOMAN,},",95,77,3 Negation and Co-ordination,No info,No info,laugh man woman
2369,"F,(howlf) = {DOG},",95,77,3 Negation and Co-ordination,No info,No info,howlf dog
2370,"F^crazy') = 0 ,",95,77,3 Negation and Co-ordination,No info,No info,
2371,"F,(happy') = {WOMAN^WOMAN^MANi} ,",95,77,3 Negation and Co-ordination,No info,No info,happy
2372,"F,(disgusting') = {CAKE},",95,77,3 Negation and Co-ordination,No info,No info,disgusting cake
2373,"F^scream') = 0 ,",95,77,3 Negation and Co-ordination,No info,No info,
2374,"Fi(messy') = 0 ,",95,77,3 Negation and Co-ordination,No info,No info,messy
2375,"F,(sing')= {WOMAN,},",95,77,3 Negation and Co-ordination,No info,No info,woman
2376,"F,(like') = {<MAN lfWOMANi>, <MAN lf WOMANi>,",95,77,3 Negation and Co-ordination,No info,No info,man lfwomani man womani
2377,"<WOMAN!,WOMAN2>, <WOMAN2,CAT>, <MANi,MANi>,",95,77,3 Negation and Co-ordination,No info,No info,woman cat mani mani
2378,"< WOMAN2, WOMAN^, <MAN!,MAN2>}",95,77,3 Negation and Co-ordination,No info,No info,man
2379,"F,(loathe') = {<MAN,,DOG>, <MAN!,DOG>, <WOMAN!,DOG>,",95,77,3 Negation and Co-ordination,No info,No info,loathe man man dog woman dog
2380,"<WOMAN2,DOG>, <WOMAN 2 ,MAN t >, <CAT,DOG>},",95,77,3 Negation and Co-ordination,No info,No info,dog woman man cat dog
2381,"F,(poison') = {<CAKE,DOG>},",95,77,3 Negation and Co-ordination,No info,No info,poison cake dog
2382,"F,(eat') = {<DOG,CAKE>},",95,77,3 Negation and Co-ordination,No info,No info,dog cake
2383,"F,(kick') = 0 ,",95,77,3 Negation and Co-ordination,No info,No info,
2384,"F,(read') = {<WOMAN1,BOOK>, <MANi,BOOK>},",95,77,3 Negation and Co-ordination,No info,No info,book mani book
2385,"F,(give') = {<WOMAN2,CAKE,MAN2>, <MAN!,CAKE,DOG>,",95,77,3 Negation and Co-ordination,No info,No info,cake man cake dog
2386,"<MAN, ,BOOK,MAN2>, <MAN2,BOOK,WOMAN2>,",95,77,3 Negation and Co-ordination,No info,No info,man book book
2387,"<MAN! ,C AT, WOMAN 2 >},",95,77,3 Negation and Co-ordination,No info,No info,man woman
2388,"Fi(rain') = 1,",95,77,3 Negation and Co-ordination,No info,No info,rain
2389,Fi(snow') = 0}.,95,77,3 Negation and Co-ordination,No info,No info,snow
2390,The last two entries in the specification of F! may seem a bit strange.,95,77,3 Negation and Co-ordination,No info,No info,last entry specification bit strange
2391,"The symbols 1 and 0 are not in A and in Chapter 2 the expressions rain' and snow' were directly associated directly with a truth value, their extensions in the model M, being true and false, respectively.",95,77,3 Negation and Co-ordination,No info,No info,symbol expression rain snow truth value extension model true false
2392,"It is not just these two constants that are defined as having truth values as their extensions, but all formulae are ultimately assigned a value, true or false, by the interpretation procedure.",95,77,3 Negation and Co-ordination,No info,No info,constant truth value extension formula value true false interpretation procedure
2393,"What is meant by the terms true and false in semantics is not, however, quite the same as what is meant by the same words in",95,77,3 Negation and Co-ordination,No info,No info,term true false semantics word
2394,English.,95,77,3 Negation and Co-ordination,No info,No info,english
2395,"In order to emphasise this the English words, true and false are replaced in model-theoretic semantics by two neutral symbols which are traditionally shown as",95,77,3 Negation and Co-ordination,No info,No info,order emphasise english word true false replaced semantics neutral symbol
2396,"0 and 1, for falsity and truth, respectively.",95,77,3 Negation and Co-ordination,No info,No info,falsity truth
2397,It does not really matter what these symbols actually are - they could be a cup of coffee and a biscuit - as long as they have a specific interpretation in the theory.,95,77,3 Negation and Co-ordination,No info,No info,symbol coffee biscuit long specific interpretation theory
2398,"This interpretation is defined by the theory of interpretation itself (ie. by the set of truth-conditions): a formula denotes 1 just in case it corresponds to the structure of some model according to the rules of interpretation, in which case we say it is true, or it denotes 0 if doesn't correspond, in which case we say it is false.",95,77,3 Negation and Co-ordination,No info,No info,interpretation theory interpretation formula denotes structure model rule interpretation true denotes false
2399,"This statement may seem somewhat peculiar and perhaps even circular, but it is not.",95,77,3 Negation and Co-ordination,No info,No info,statement peculiar circular
2400,"True and false are informal (English) terms which help us remember what we are getting at in our semantic analysis, whereas 0 and",95,77,3 Negation and Co-ordination,No info,No info,true false informal english term help semantic analysis
2401,"1 are precise (logical) terms, whose interpretation is defined by the theory.",95,77,3 Negation and Co-ordination,No info,No info,precise logical term interpretation theory
2402,"For this latter reason, the symbols 1 and 0 are not included in the ontology of the model, but are part of the theory of interpretation.",95,77,3 Negation and Co-ordination,No info,No info,latter reason symbol ontology model part theory interpretation
2403,"If they were members of A, some models might not contain them and so have no means of representing truth and falsity.",95,77,3 Negation and Co-ordination,No info,No info,member model mean truth falsity
2404,3 Negation and co-ordination,96,78,3 Negation and Co-ordination,No info,No info,negation
2405,"However, it is part of the theory that all formulae have determinate truth values and so it is in the theoretical part of the interpretation procedure that they are defined.",96,78,3 Negation and Co-ordination,No info,No info,part theory formula determinate truth value theoretical part interpretation procedure
2406,Model theory,96,78,3 Negation and Co-ordination,No info,No info,model theory
2407,"We have now given a formal definition of the structure that models have and given a specification of one such model, M,.",96,78,3 Negation and Co-ordination,No info,No info,formal structure model specification model
2408,"The next thing to be done is to provide a formalisation of the theory of interpretation which defines how formulae are interpreted with respect to some model, the model theory.",96,78,3 Negation and Co-ordination,No info,No info,next provide formalisation theory interpretation defines formula respect model model theory
2409,"The model theory provides a means of determining the extensions of all expressions in LP, whether simple or complex.",96,78,3 Negation and Co-ordination,No info,No info,model theory mean extension expression simple complex
2410,"Formally, the denotation of an expression is represented by putting it within square brackets, [.].",96,78,3 Negation and Co-ordination,No info,No info,denotation expression square bracket
2411,"Thus, for example, [the-caf] represents the denotation of the-caf and [scream'(jo}) v laugh'(fwna')] represents the denotation of the formula that translates Jo screamed or Fiona laughed.",96,78,3 Negation and Co-ordination,No info,No info,denotation scream laugh fwna denotation formula translates fiona
2412,"As we have seen, however, expressions do not have denotations tout court, but only with respect to a particular model.",96,78,3 Negation and Co-ordination,No info,No info,expression denotation tout court respect particular model
2413,"For this reason, the name of the model being used to interpret the expression is written as a superscript to the right of the square brackets.",96,78,3 Negation and Co-ordination,No info,No info,reason name model interpret expression superscript right square bracket
2414,"For example, the denotation of laugh'(fiona') with respect to the model, Mi, is written as",96,78,3 Negation and Co-ordination,No info,No info,denotation laugh fiona respect model
2415,[laugh'(fiona')]m and that of the-caf is [the-cat']m.,96,78,3 Negation and Co-ordination,No info,No info,laugh fiona
2416,"Formally, the model theory is stated as a recursive definition of the notion of denotation in a model, i.e. of [oc]M where a is any expression in the object language.",96,78,3 Negation and Co-ordination,No info,No info,model theory recursive notion denotation model expression object language
2417,The base of the recursive definition is given by the equation of the model-theoretic denotation of constants with the extension assigned to that constant by F in the relevant model (see (49.1)).,96,78,3 Negation and Co-ordination,No info,No info,base recursive equation denotation constant extension constant relevant model
2418,"This means that while the denotation function, F, can vary from model to model, it always provides the basis of the interpretation of complex expressions.",96,78,3 Negation and Co-ordination,No info,No info,mean denotation function model model basis interpretation complex expression
2419,"In other words, the truth value of a sentence is determined by the denotations of the words it contains.",96,78,3 Negation and Co-ordination,No info,No info,word truth value sentence denotation word
2420,"For example, because the expression the-caf is a constant in LP, its extension with respect to M,, [the-caf ]M\ is the result of applying F l 5 the denotation assignment function in Mi, to the expression the-caf.",96,78,3 Negation and Co-ordination,No info,No info,expression constant extension respect result denotation assignment function expression
2421,By,96,78,3 Negation and Co-ordination,No info,No info,
2422,"(48), Vx(the-caf) is CAT, so [the-caf]m is also CAT.",96,78,3 Negation and Co-ordination,No info,No info,cat
2423,"From the denotations of the constants supplied by F in a particular model, the denotations of all other expressions in the language are built up by a series of recursive clauses which define how to build up the denotations of complex expressions from the denotations of their parts, in accordance with the principle of compositionality.",96,78,3 Negation and Co-ordination,No info,No info,denotation constant particular model denotation expression language series recursive clause define build denotation complex expression denotation part accordance principle compositionality
2424,Anything not specified by the base and recursive clauses does not count as a possible denotation in the model.,96,78,3 Negation and Co-ordination,No info,No info,specified base recursive clause possible denotation model
2425,The recursive clauses state formally the truth-conditions of formulae in L P by defining what must be the case for a formula with a particular structure to be true in any model.,96,78,3 Negation and Co-ordination,No info,No info,recursive clause state formula defining particular structure true model
2426,"Thus, the truth-conditions for formulae constructed from an n-place predicate and n arguments is formally set out in general form in (49.2) and requires that the n-tuple formed by taking the extensions of each of the arguments in order to be in the extension of the predicate for the formula to be true.",96,78,3 Negation and Co-ordination,No info,No info,formula predicate argument general form extension argument order extension predicate formula true
2427,(49.3) states that an equative formula is true only when the entities denoted by the two individual constants being equated are one and the same entity.,96,78,3 Negation and Co-ordination,No info,No info,state formula true entity individual constant entity
2428,The next four clauses in the model theory in (49) deal with the interpretations of complex formulae given the extensions of their component parts: a negative formula is true if the component formula is false; two formulae must be true for their conjunction by & to be true; at least one of two formulae must be true for their disjunction by v to be true; for,96,78,3 Negation and Co-ordination,No info,No info,next clause model theory deal interpretation complex formula extension component part negative formula true component formula false formula true conjunction least formula true disjunction true
2429,"Formal interpretation conditionals to be true, either the antecedent must be false or the consequent true; and two formulae are equivalent only if they have the same truth value.",97,79,3 Negation and Co-ordination,No info,No info,formal interpretation conditionals true antecedent false consequent true formula equivalent truth value
2430,This completes the formal definition of the model theory used to interpret LP.,97,79,3 Negation and Co-ordination,No info,No info,formal model theory interpret
2431,(49) does nothing more than formally state the model theory that has been informally presented in Chapter 2 and the earlier part of this chapter.,97,79,3 Negation and Co-ordination,No info,No info,nothing model theory earlier part
2432,No new information about interpretation is introduced.,97,79,3 Negation and Co-ordination,No info,No info,new information interpretation
2433,"Given a model, M = «A,F», then",97,79,3 Negation and Co-ordination,No info,No info,model
2434,"For any constant a , [a ] M is F ( a ) .",97,79,3 Negation and Co-ordination,No info,No info,constant
2435,"I f / i s an n-place predicate, and ah...,an are individual constants, then",97,79,3 Negation and Co-ordination,No info,No info,individual constant
2436,"\f(alf...,an)]M is l,iff<[«y]M,...,[«n]M>G [/]M. Otherwise, \f(a,,...,a,)]M is 0.",97,79,3 Negation and Co-ordination,No info,No info,alf
2437,"If a and b are individual constants, then [a = b]M is 1 iff [a]M is extensionally identical to [b]M. Otherwise, [a = b]M is 0.",97,79,3 Negation and Co-ordination,No info,No info,individual constant identical
2438,"If 0 is a formula, then [~((())]M is 1, iff [(|>]M is 0.",97,79,3 Negation and Co-ordination,No info,No info,formula
2439,"Otherwise, [~(<|>)]M is 0.",97,79,3 Negation and Co-ordination,No info,No info,
2440,"If (|> and \j/ are formulae, then [<>",97,79,3 Negation and Co-ordination,No info,No info,formula
2441,"| & \j/]M is 1, iff [c|)]M is 1 and [\|/]M is 1.",97,79,3 Negation and Co-ordination,No info,No info,
2442,"Otherwise, [()) & \|/ ] M is 0.",97,79,3 Negation and Co-ordination,No info,No info,
2443,"If <|) and \\f arc formulae, then [($ v \|/ )] M is 1, iff [<()]M is 1 or [\j/]M is 1.",97,79,3 Negation and Co-ordination,No info,No info,arc formula
2444,"Otherwise, [(()) v \j/ )]M is 0.",97,79,3 Negation and Co-ordination,No info,No info,
2445,"If (|> and \\f are formulae, then [((() -» \|/)]M is 1, iff [())]M is 0 or [\|/]M is 1.",97,79,3 Negation and Co-ordination,No info,No info,formula
2446,"Otherwise, [((() -^ \|/)] M is 0.",97,79,3 Negation and Co-ordination,No info,No info,
2447,"If <|) and \jr are formulae, then [$ <-> \|/] M is 1, iff [c|)]M is [\|/]M. Otherwise,",97,79,3 Negation and Co-ordination,No info,No info,formula
2448,[ty <-> \\f ] M is 0.,97,79,3 Negation and Co-ordination,No info,No info,
2449,"To show how the model theory works, we shall look at the interpretation of the formula that translates the sentence If Jo was the student, then the lecturer loathed Jo,",97,79,3 Negation and Co-ordination,No info,No info,show model theory work interpretation formula translates sentence student lecturer
2450,"(jo'= the-student'—> loathe'(the-lecturer', jo')).",97,79,3 Negation and Co-ordination,No info,No info,loathe
2451,To specify the interpretation of this,97,79,3 Negation and Co-ordination,No info,No info,interpretation
2452,"Lp formula, we begin by defining the truth-conditions of the complex formula according to the model theory and then find out whether these are met in the model under consideration.",97,79,3 Negation and Co-ordination,No info,No info,formula complex formula model theory model consideration
2453,"If they are, the formula is true.",97,79,3 Negation and Co-ordination,No info,No info,formula true
2454,"If not, then it is false.",97,79,3 Negation and Co-ordination,No info,No info,false
2455,"Since the formula is a conditional, the first step in interpreting it is given by the truthconditions for material implication set out in (49.7).",97,79,3 Negation and Co-ordination,No info,No info,formula conditional first step truthconditions material implication
2456,"In other words, we replace <|) and",97,79,3 Negation and Co-ordination,No info,No info,word replace
2457,\|/ in this clause with the component formulae to get (50).,97,79,3 Negation and Co-ordination,No info,No info,clause component formula
2458,"[(jo' = the-student' -> loathe'(the-lecturer',jo'))] M1 is 1, iff [jo' = the-student'] M1 is 0 or [loathe'(the-lecturer'jo')] M1 is 1.",97,79,3 Negation and Co-ordination,No info,No info,loathe loathe
2459,It is then necessary to interpret the component formulae to see whether these truth-conditions are met.,97,79,3 Negation and Co-ordination,No info,No info,necessary interpret component formula
2460,"The antecedent formula is equative, the truth-conditions of which are provided by the clause in (49.3).",97,79,3 Negation and Co-ordination,No info,No info,antecedent formula equative clause
2461,We now come to constants of the language,97,79,3 Negation and Co-ordination,No info,No info,constant language
2462,Lp whose extensions are provided by the model.,97,79,3 Negation and Co-ordination,No info,No info,extension model
2463,"So, the base clause (49.1) is applied twice to get the extension of jo' and the-studenf in M,, allowing us to determine the truth value of the antecedent formula with respect to the model, as shown in (51).",97,79,3 Negation and Co-ordination,No info,No info,base clause extension determine truth value antecedent formula respect model
2464,(51) a.,97,79,3 Negation and Co-ordination,No info,No info,
2465,b.,97,79,3 Negation and Co-ordination,No info,No info,
2466,c.,97,79,3 Negation and Co-ordination,No info,No info,
2467,d.,97,79,3 Negation and Co-ordination,No info,No info,
2468,[jo' = the-student'] M! is 1 iff [jo']M1 is extensionally identical to,97,79,3 Negation and Co-ordination,No info,No info,identical
2469,[the-studenf ] M1 (by (49.3)).,97,79,3 Negation and Co-ordination,No info,No info,
2470,"[jo']M1 = F,(jo') = MAN! (by (49.1) and definition of F, in (48.b)).",97,79,3 Negation and Co-ordination,No info,No info,man
2471,"[the-studenf ] M1 = F,(the-studenf) = MAN! (by (49.1) and definition of F,).",97,79,3 Negation and Co-ordination,No info,No info,man
2472,"Therefore, as MANX is identical to MAN,, [jo = the-studenf ] M1 is 1.",97,79,3 Negation and Co-ordination,No info,No info,manx identical man
2473,3 Negation and co-ordination,98,80,3 Negation and Co-ordination,No info,No info,negation
2474,"Because the antecedent is true with respect to the model, we cannot yet tell whether the conditional is true and must find out the truth value of the consequent.",98,80,3 Negation and Co-ordination,No info,No info,true respect model conditional true truth value consequent
2475,"This contains a two-place predicate, loathe' and two arguments, the-lecturer' and jo '.By the clause in (49.2) the truth-conditions of this formula are met if entities denoted by the-lecturer' and jo' form an ordered pair which is in the extension of loathe' in M,, as set out in (52).",98,80,3 Negation and Co-ordination,No info,No info,predicate loathe argument clause formula entity form pair extension loathe set
2476,"Since this is the case, it follows from (50) that the whole conditional is true with respect to Mi.",98,80,3 Negation and Co-ordination,No info,No info,whole conditional true respect
2477,"Hence, we have indirectly interpreted the",98,80,3 Negation and Co-ordination,No info,No info,
2478,"English sentence IfJo was the student, then the lecturer loathed Jo as being true of the situation modelled by Mi, as required.",98,80,3 Negation and Co-ordination,No info,No info,english sentence ifjo student lecturer true situation
2479,"[loathe'(the-lecturer'jo')]M1 is 1 iff<[the-lecturer']M1,[jo']M1>e [loathe']M1",98,80,3 Negation and Co-ordination,No info,No info,loathe loathe
2480,(by (49.2)).,98,80,3 Negation and Co-ordination,No info,No info,
2481,"b. [loathe']""1 = F,(loathe') =",98,80,3 Negation and Co-ordination,No info,No info,loathe loathe
2482,"{<MAN1,DOG>, <MAN2,DOG>,",98,80,3 Negation and Co-ordination,No info,No info,dog dog
2483,"<WOMAN1,DOG>, <WOMAN2,DOG>, <WOMAN2,MAN,>,",98,80,3 Negation and Co-ordination,No info,No info,dog dog man
2484,"<CAT,DOG>} (by (49.1) and the definition of F, in (48.b)).",98,80,3 Negation and Co-ordination,No info,No info,cat dog
2485,"c. [the-lecturer']M1 = F,(the-lecturer') = WOMAN2(by (49.1) and F, in (48.b)).",98,80,3 Negation and Co-ordination,No info,No info,
2486,"d. [jo']M1 = F,(jo') = MAN,(by (49.1) and F, in (48.b)).",98,80,3 Negation and Co-ordination,No info,No info,man
2487,e.,98,80,3 Negation and Co-ordination,No info,No info,
2488,"Because <WOMAN2,MAN!> e {<MAN,,DOG>, <MAN2,DOG>,",98,80,3 Negation and Co-ordination,No info,No info,man man dog
2489,"<WOMAN 1 ,DOG>, <WOMAN2,DOG>, <WOMAN2,MAN1>,",98,80,3 Negation and Co-ordination,No info,No info,woman dog dog
2490,"<CAT,DOG>}, [loathe'(the-lecturer',jo')]M1 is 1.",98,80,3 Negation and Co-ordination,No info,No info,cat dog loathe
2491,(52) a.,98,80,3 Negation and Co-ordination,No info,No info,
2492,"This process, which may seem rather tedious (as indeed it is!), is a rigorous specification of the truth-conditional meaning of the formula that translates the sentence IfJo was the student, then the lecturer loathed Jo.",98,80,3 Negation and Co-ordination,No info,No info,process tedious rigorous specification formula translates sentence ifjo student lecturer
2493,Each step is automatic and the final conclusion is reached just by following the rules set out in (49).,98,80,3 Negation and Co-ordination,No info,No info,step automatic final rule
2494,"Thus, the model theory makes absolutely explicit how the.interpretation of formulae that translate sentences generated by G{ is to be carried out.",98,80,3 Negation and Co-ordination,No info,No info,model theory explicit formula translate sentence
2495,"Note that the theory is not intended to represent the steps that we, as speakers of English, carry out in our heads when interpreting expressions generated by this small grammar.",98,80,3 Negation and Co-ordination,No info,No info,theory represent step speaker english head expression small grammar
2496,"It does, however, provide an automatic procedure for determining the truth or falsity of any formula associated with a sentence in d with respect to the model Mi and thus constitutes a theory of the truth-conditional meaning of the grammar fragment.",98,80,3 Negation and Co-ordination,No info,No info,automatic procedure truth falsity formula sentence respect model theory meaning grammar fragment
2497,(49) thus provides an explicit theory of semantic interpretation whose precision enables us to check its predictions and see if they do indeed match up with our intuitions about what English sentences mean.,98,80,3 Negation and Co-ordination,No info,No info,explicit theory semantic interpretation precision enables prediction match intuition english sentence
2498,"In the following chapters, it will be shown that the theory in (49) is not sufficient in itself to provide a full theory of interpretation for English (or any other natural language), but it does provide a firm foundation for the more adequate theories to be discussed later.",98,80,3 Negation and Co-ordination,No info,No info,chapter theory sufficient full theory interpretation english natural language firm foundation adequate theory
2499,Exercise 3.6:,98,80,3 Negation and Co-ordination,No info,No info,exercise
2500,Translate the following sentences into LP and determine their truth or falsity with respect to Mi using the formal method shown in (50) to (52): i.,98,80,3 Negation and Co-ordination,No info,No info,sentence truth falsity respect formal method
2501,Jo didn't give the cat to the lecturer.,98,80,3 Negation and Co-ordination,No info,No info,cat lecturer
2502,ii.,98,80,3 Negation and Co-ordination,No info,No info,
2503,The dog ate the cat or the dog ate the cake.,98,80,3 Negation and Co-ordination,No info,No info,dog cat dog cake
2504,iii.,98,80,3 Negation and Co-ordination,No info,No info,iii
2505,"If Chester was messy, then the cat didn't loathe the dog.",98,80,3 Negation and Co-ordination,No info,No info,chester messy cat loathe dog
2506,Further reading,99,81,3 Negation and Co-ordination,No info,No info,
2507,Further reading,99,81,3 Negation and Co-ordination,No info,No info,
2508,"The logical operators ~, &, v , -» and <-^ and their truth-conditional interpretations form the basis of propositional logic and there are many introductions to this system: see, in particular, Guttenplan (1986: 42-88) (which also discusses translation on pp.",99,81,3 Negation and Co-ordination,No info,No info,logical operator interpretation form basis propositional logic many introduction system particular guttenplan translation
2509,"105-124), Allwood, Andersen and Dahl (1977: ch.",99,81,3 Negation and Co-ordination,No info,No info,allwood andersen dahl
2510,"4), Lyons (1977:138-150), Partee, ter Meulen and Wall (1990:99-107), Martin (1987: 8-30) and McCawley (1981: chs.",99,81,3 Negation and Co-ordination,No info,No info,lyon partee ter meulen wall martin mccawley chs
2511,"2 & 3) which gives a discussion of the syntax and semantics of propositional logic and inference, but uses a different notation that is potentially confusing to the novice.",99,81,3 Negation and Co-ordination,No info,No info,discussion syntax semantics propositional logic inference different notation confusing novice
2512,(Barwise and Etchemendy (1987) offers an introductory text and a computer program for learning predicate logic on a Macintosh computer.),99,81,3 Negation and Co-ordination,No info,No info,barwise etchemendy introductory text computer program predicate logic macintosh computer
